,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
DISTRICT,-0.1226295,-0.00942432,0.46922687,0.35933766,-0.13613792,-0.5173468,0.36102885,0.24611935,0.008151088,-0.4159775,0.4542213,-0.2809416,-0.4966946,0.06534343,-0.10718963,0.35045582,0.21256994,0.29283726,-0.018425178,-0.2533468,0.013200238,0.023131007,0.5403449,0.109026015,-0.14577816,0.14224559,0.122791864,0.2174948,-0.13303064,-0.017805817,-0.08759043,0.04489876,0.17693044,-0.19933616,-0.030504981,0.27319193,0.5845987,-0.18697034,-0.30502734,0.18625009,0.08004243,-0.1937009,-0.3077472,-0.0073161065,0.39067495,0.050717287,-0.11949569,-0.34710187,0.42520005,0.38829562,-0.3885568,-0.22195254,0.084382765,-0.10931392,-0.02125296,-0.093015246,-0.045730464,-0.36110827,-0.1896836,0.114735804,0.09194455,-0.21196182,0.32102212,-0.19807336,0.33801565,-0.04438454,-0.238678,-0.022117687,-0.12211621,-0.07588857,0.14696527,0.20210557,-0.010010624,0.37533823,0.21348903,-0.058960926,0.13373426,-0.36837307,-0.1469686,-0.1300533,-0.24236484,-0.17813675,0.12909135,0.26883754,-0.40824646,-0.120859094,0.07726004,0.19726002,0.09664413,0.11951863,0.30827588,0.042993717,0.16930524,-0.14785859,0.054326765,-0.06904584,0.17240323,-0.66743964,-0.044062458,0.064181276
SCHOOL,-0.30769578,0.40823853,0.08132911,0.013615917,0.5731694,-0.6184881,0.23340528,0.43100715,-0.001127691,-0.11741687,0.29028156,-0.29375952,-0.59989095,0.055241857,0.044001233,0.16930516,-0.2115551,0.3465227,0.12292544,-0.16602325,-0.16260745,-0.07103803,0.1223246,0.09109866,0.16086818,-0.26080236,0.11183412,0.37111682,0.04597398,0.12502226,0.11983987,0.120620355,-0.27160704,-0.4014368,-0.04391757,-0.022875905,0.48925045,-0.29849786,0.31747827,0.013853144,-0.17211469,-0.23426136,-0.488968,-0.20778933,0.48869157,0.13447149,0.010046383,-0.47737357,0.28352794,0.13824522,0.15387264,-0.31869164,0.01596334,0.17127958,-0.005169213,0.09588079,0.2990434,-0.1918661,-0.38231295,0.018872814,-0.036607414,0.21621639,0.19227341,-0.39163542,0.3461805,0.15128541,0.031458236,-0.47832143,-0.009938354,0.21221542,-0.3404898,0.21358125,0.1428605,0.27974665,0.06958278,0.11868067,-0.32664967,-0.14887592,-0.12030258,-0.44731304,-0.34775892,0.1092332,0.16720182,0.024941638,-0.27558696,-0.093372434,0.12598659,0.52409726,0.30865347,0.10455212,0.11861469,0.2801471,0.2310515,-0.5423351,-0.15618542,-0.020045122,0.64062274,-0.50281024,-0.1797021,-0.020526763
CENTRAL,0.3271808,0.5583584,0.022494048,0.2901209,0.67238474,-0.924337,0.099024616,0.18008988,0.0716767,0.15314192,0.5823184,-0.5316627,0.06272853,0.4053141,0.6370982,0.09445791,0.2547755,0.5993115,-0.10832078,-0.04101591,0.014248459,-0.25973198,-1.0266693,-0.59090185,0.2538014,-0.23243307,0.34388652,0.45661044,-0.19322859,-0.3200103,-0.33492202,0.43205324,-0.46212602,0.027954761,-0.51584,-0.17838286,0.1781534,-0.15470384,-0.24801305,-0.028858354,-0.6495426,0.12200512,0.061877497,-0.38363642,0.48204118,0.55925363,-0.5022096,-0.8341899,0.32891968,0.45206004,-0.197592,-0.13732286,-0.4106722,-0.3907564,-0.06488048,-0.27062303,0.2716509,-0.5434308,-0.70128644,0.4168501,0.3388377,0.028005969,0.26169413,2.0456755e-05,0.42370495,0.14695677,-0.24893859,0.0059546847,-0.032309037,0.28087062,-0.092349805,-0.09426944,0.08955716,0.26073024,-0.08248456,0.5649161,0.26194865,-0.24005395,-0.56543994,-0.16701049,-0.22389114,-0.16048029,-0.8309932,0.34269124,-0.14976914,-0.034793526,-0.5927163,0.091180705,0.7218614,0.35854512,-0.108706154,0.3702872,1.0336115,-0.18277551,0.15280424,-0.07515773,0.9042948,-0.49986815,0.2683496,0.12005234
CITY,-0.046956208,-0.012231412,0.6293672,-0.2942053,0.025437485,-0.44519585,0.11601981,0.026986161,0.5630223,-0.7646163,0.878213,0.6575278,-0.4190259,-0.14944623,0.21868882,0.35140824,0.43620703,0.1953644,-0.7193876,0.22374351,-0.5632555,-0.18098074,1.0144223,0.20238528,-1.1093923,0.41453838,-0.010661476,-0.13877872,0.31952715,0.3436798,0.027307669,-0.046885993,-0.37376335,-0.21033962,0.69432443,0.08145232,0.13966031,-0.7662466,-1.2590839,0.40839425,0.04477916,0.05791137,0.36990395,-0.46555138,0.7236161,-0.0064214603,-0.34175512,-0.93241996,0.07497218,0.21408673,0.15294658,0.28544065,-1.1606933,-0.3880617,-0.73414046,1.0085658,-0.13955118,0.7532568,0.6762156,-0.10527583,-0.24816352,0.8012779,0.47865814,0.6488472,0.27061793,-0.35370612,-0.6139828,0.3772629,0.028096704,-1.2224448,0.24865694,-0.30970603,-0.3128285,1.0528928,-0.109906845,-0.17387916,-0.33693203,-0.16142756,-0.5878329,0.3304434,-1.0121434,0.24216144,0.23247366,0.7473938,-0.64513326,0.025754083,0.8178389,-0.103767015,-0.0831456,-0.7751417,0.02442131,0.070164435,-0.38482738,0.16478138,0.11755793,0.091499865,1.1003491,-0.35929543,-1.0943276,-0.18424971
UNION,-0.20909958,0.11382962,-0.028842643,-0.4488979,0.36667415,0.39360833,0.30947092,-0.15509525,-0.21157597,0.13081618,0.21223085,0.73401284,-0.41179535,-0.33539498,0.621784,-0.13574544,-0.58195645,0.2512588,-0.43926695,-0.4071371,-0.027904864,-0.45661947,1.2922609,0.60307544,-0.03482579,-0.20741203,0.8868729,-0.0589083,-0.32956737,0.35035592,0.69501674,-0.1342182,0.020640912,-1.3647637,0.74652165,0.005180151,0.1378779,0.096346065,-0.4786507,-0.55829173,-0.2335552,-0.44701362,-0.37897024,0.5973428,1.2161269,-0.1211234,0.21142569,0.063792154,0.19293302,-0.29349932,0.036407106,0.20064001,-0.0065341294,-0.5393216,0.11652365,-0.46604842,-0.9213644,-0.4345159,-0.24268648,-0.825064,0.11843102,-0.353701,0.85001177,-0.060066774,-0.3287574,0.3704958,0.32767934,0.7622125,-0.7426802,0.04792842,-0.19147325,0.6351157,-0.026056387,1.2796595,-0.106642224,0.36402,-0.09182995,0.044124868,-0.44206768,-0.6381439,0.003457896,-0.90106595,0.1513763,-0.09423454,-0.7944052,-0.72099316,0.82342786,0.132594,-0.6581372,-0.22418919,0.6429715,0.058593534,0.31922305,-0.10235405,0.06129826,-0.4784365,0.64578414,-0.47521204,0.41712815,-0.8714264
FREE,-0.16662078,0.18123446,0.10961848,-0.9056394,-0.28995907,-0.10120536,0.30619472,-0.109783866,-0.39212787,-0.5097322,0.29032713,0.56494766,-0.36793447,-0.59574455,0.6493689,-0.15940355,-0.75055695,-0.051232897,-0.6008235,-0.33092225,-0.13690339,-0.15684263,1.1513125,0.49242443,-0.11772459,-0.29214546,0.8983308,-0.57799464,0.014750964,0.64981604,0.79917735,-0.45060045,-0.051256716,-1.3293469,0.41608182,0.3244926,0.13935578,0.008280269,-0.26569313,-0.91821426,0.06527537,-0.5131339,-0.12268821,0.15923584,0.89024895,0.06902499,0.1243282,0.32275984,0.24181698,-0.06779075,0.25389448,-0.21234602,-0.28787637,-0.17502177,0.17651466,-0.14561978,-0.19419992,-0.2597992,-0.33395073,-0.7046173,0.13356417,0.12404459,1.2110882,-0.3759052,-0.26546818,0.7850645,-0.034364574,0.5121273,-0.7908819,-0.5740459,0.14283425,0.46741903,0.2514213,1.226831,-0.13150117,0.5557746,-0.1274378,-0.28020832,-0.8945711,-0.089695245,0.6075274,-0.8322618,-0.037756685,-0.11567393,-0.34039968,-0.8269687,0.25430563,0.19903487,-0.22194056,0.1018632,0.7313279,0.78139585,-0.025580399,-0.107225694,0.3503042,-0.019945016,0.6785979,-0.55510235,0.4470141,-1.1094455
NEW,-0.07595292,-0.4378487,0.39897886,-0.317206,0.23925793,-0.2931319,-0.06884627,-0.1270513,-0.22808509,-0.5948406,0.20027825,0.34293535,-0.5467412,0.36050898,0.2579104,0.1766248,0.15851916,0.7528977,-0.26153374,-0.4304041,0.54948324,-0.48016143,1.1771749,-0.2496432,0.07353712,0.9079545,-0.27615756,-0.6434362,0.31397334,0.5072039,0.3020916,0.44830137,-0.09646175,-0.20555712,0.9211825,-0.37415776,-0.597616,-0.26505062,-1.1312736,-0.4676518,0.42493662,-0.8469102,0.42426658,-0.08560715,0.14650732,0.120037414,-0.20885508,-1.2889794,0.057722505,-0.4314698,0.5831219,-0.7518564,-0.7074727,-0.3803628,-0.17126365,-0.036356576,-0.07893554,-0.050579026,0.07971407,0.24047296,-0.42511237,0.08836937,0.43394846,0.56471723,0.1447973,0.49715126,-0.16952625,-0.06297563,0.16624376,-0.25583136,-0.33212906,-0.27980056,-0.57047874,0.92191774,0.37415722,-0.14760412,-0.007025112,-0.13889474,-0.8851492,0.5957098,-0.7681436,-0.21566722,-0.27652833,0.34840402,-0.52344626,-0.1448603,0.47206828,-0.5007598,-0.40179244,-0.27149,0.44369328,0.34306335,0.08736253,-0.09238242,-0.6784162,0.031641565,1.4788464,0.05060451,-0.6374429,0.6949076
YORK,-0.08582758,-0.48566636,0.56030434,-0.0673343,0.0543906,-0.3327892,-0.04278048,-0.26338488,-0.25552988,-0.79658157,-0.14196078,0.52064025,-0.4407519,-0.078400396,0.43046772,0.2576548,-0.05810519,0.58284146,-0.54062855,-0.22947694,0.46824926,-0.12979841,0.87015766,-0.44097757,-0.36864772,0.9768481,-0.26726493,-0.1673111,-0.018704303,0.9780198,-0.22135071,0.1771771,-0.286821,-0.817186,1.1000801,-0.5734301,-0.7449965,-0.049162544,-1.1814922,0.08930661,0.40649572,-0.6723511,0.19380558,0.2214783,0.41102862,-0.45311916,-0.25174755,-0.96187574,0.69271827,-0.36658812,0.4040824,-0.48264915,-0.108781144,-0.8306161,0.0059658866,0.51097524,-0.3884423,0.47108233,0.37008384,0.73447746,-0.21294944,0.21899655,0.19589405,0.82805294,0.21612899,0.4833202,-0.26818824,0.58430636,0.23329087,-0.50537807,-0.001684004,-0.6905541,-0.40639043,0.5975102,-0.1125794,-0.024857111,-0.06570941,-0.55658597,-0.70049506,0.109294675,-1.3893743,-0.14339042,-0.16868117,0.33293852,-0.47893012,-0.04321452,0.5310691,0.13750887,-0.12742627,-0.3964612,0.4829572,0.11653475,-0.23877081,0.14708322,-0.6897359,0.080767795,1.0081321,-0.035966687,-0.46289364,0.31982675
GEOGRAPHIC,-0.66224146,-0.038194753,0.65064234,-0.054260116,0.3134417,-0.39043218,0.038935732,-0.16660112,-0.29771036,-0.5434833,0.18205997,0.3155779,-0.27990752,-0.10879,0.7699685,0.3937951,-0.4627396,0.5018131,-0.5451916,-0.12889442,0.574022,0.013037872,1.2872685,-0.26958606,0.0151528735,1.0353014,-0.33696115,-0.6545179,0.33539686,0.5198292,0.1009708,0.08352931,0.23323783,-0.093795024,1.225488,-0.37594143,-0.5009158,0.02548794,-1.0178877,-0.2957266,-0.16194692,-0.42708516,0.13716097,0.08945382,0.23130096,-0.35243997,-0.31832755,-0.8006548,0.275145,-0.56619847,0.593885,-0.35034305,-0.61298794,-0.8926516,0.3928814,0.17928238,-0.1299193,0.27971905,0.6720044,0.37321526,-0.6138715,0.20581293,0.5617831,0.88636494,-0.042325605,0.16050828,-0.3864251,0.5302632,-0.04743146,-0.08415442,-0.40971425,-0.5459423,-0.40680352,1.0395559,-0.1905751,-0.16206647,-0.43779886,-0.88881105,-1.1010062,0.26488295,-1.2257633,-0.3223236,0.33248276,0.50217474,-0.4750262,0.19091666,0.4398582,-0.38093123,-0.45510504,-0.21595746,0.27736962,0.3354407,0.31656328,0.06755023,-0.31265017,0.36332145,1.1547486,0.27755004,-0.6266869,0.21298717
VALLEY,-0.34486747,-0.10731356,-0.12033986,0.08966385,0.07332549,-0.66154784,-0.4225363,0.47372532,-0.19798194,-0.4057177,0.31847373,-0.11820927,-0.27240393,0.51336557,0.48264572,0.89490336,0.22539482,0.358396,0.18746611,-0.029893193,0.5013911,0.63278925,0.12476145,-0.4328032,0.8018574,-0.37895972,-0.2772949,0.7111445,-0.45521414,0.1544402,1.0957056,0.7437264,0.024239784,0.08587556,-0.048894275,0.29405534,-0.12031849,0.29678026,-0.06693751,0.3537218,-0.03347275,0.2695015,-0.26326483,-0.5372404,0.20955116,0.6395699,-0.011877435,-0.40862966,0.874754,0.31508672,0.39939156,0.47373614,-0.6991753,-0.00383284,0.34646043,-0.033254884,-0.79783136,-0.13161504,0.49836212,0.14418681,-0.6987854,1.105608,0.857991,0.08289433,-0.570958,-0.15860179,-0.33529538,-0.8710343,-0.22869502,-0.21852238,0.105768226,-0.00089493266,-0.23333064,0.13379996,-0.13230902,-0.045675606,0.5290585,-0.9412793,-0.38774702,0.18054368,-0.49690354,-0.25628078,-0.5095749,0.93461734,-0.27324265,-0.65373206,-0.5159015,-0.29139057,1.0131795,0.28023586,-0.57876736,0.825518,1.0499278,-0.10703051,0.48717752,-0.4715129,0.79289484,0.28089535,0.12482439,-0.0015407797
